clientId,min_impressions,max_impressions,youtube_subscribers,instagram_followers,episode_avg_views,estimated_ad_price
newheightswith,239685,399475,2560000,2896797,261180.6,"{'30s': '20,26', '60s': '26,33'}"
newmindsetwhodis,89340,148900,6650,1326196,2179.0,"{'30s': '24,30', '60s': '30,38'}"
newscast,5730,9550,175000,828817,49192.6,"{'30s': '10,15', '60s': '14,20'}"
noputtsgiven,4950,8250,96000,479641,9978.2,"{'30s': '10,15', '60s': '14,20'}"
notbasicblondeppodcast,930,1550,69,255887,37.0,"{'30s': '10,15', '60s': '14,20'}"
notgonnalie,136815,228025,345000,916852,138671.75,"{'30s': '20,26', '60s': '26,33'}"
nothingmuchhappens,140655,234425,20100,30117,1323.4,"{'30s': '18,24', '60s': '24,31'}"
offtrackwithhinchandrossi,13740,22900,7880,6851,3647.6,"{'30s': '15,20', '60s': '20,26'}"
onpurpose,374340,623900,4380000,17176825,70447.0,"{'30s': '24,30', '60s': '30,38'}"
opieradio,71925,119875,149000,53100,110.0,"{'30s': '14,19', '60s': '19,25'}"
passionstruck,10470,17450,66300,656423,3998.4,"{'30s': '17,22', '60s': '22,28'}"
patgrayunleashed,68310,113850,0,17554,0.0,"{'30s': '15,20', '60s': '20,26'}"
petercrouchpod,2775,4625,85900,178234,14278.2,"{'30s': '10,15', '60s': '14,20'}"
pitlaneparley,1275,2125,138,4308,38.2,"{'30s': '10,15', '60s': '14,20'}"
pivot,117975,196625,143000,0,151981.6,"{'30s': '26,32', '60s': '32,40'}"
planetmoney,439740,732900,324,197508,0.0,"{'30s': '26,32', '60s': '32,40'}"
psiloveyouxoxo,45075,75125,0,0,0.0,"{'30s': '22,28', '60s': '28,35'}"
purposemade,555,925,17200,23,6595.2,"{'30s': '10,15', '60s': '14,20'}"
realfoodology,21765,36275,26100,594856,536.0,"{'30s': '18,24', '60s': '24,30'}"
redpilledamerica,79845,133075,3930,5175,3069.4,"{'30s': '20,26', '60s': '26,33'}"
relatable,293865,489775,623000,151287,74926.8,"{'30s': '20,26', '60s': '26,33'}"
revisionisthistory,869550,1449250,77400,21533,31602.2,"{'30s': '21,27', '60s': '27,34'}"
